[21:16:58.588] [INFO   ] thread main starting.
[21:16:58.597] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:17:26.853] [SEVERE ] updating countdown to 33697
[21:17:26.966] [SEVERE ] updating countdown to 33584
[21:17:27.076] [SEVERE ] updating countdown to 33474
[21:17:27.190] [SEVERE ] updating countdown to 33360
[21:17:27.302] [SEVERE ] updating countdown to 33248
[21:17:27.412] [SEVERE ] updating countdown to 33138
[21:17:27.512] [SEVERE ] updating countdown to 33038
[21:17:27.620] [SEVERE ] updating countdown to 32930
[21:17:27.732] [SEVERE ] updating countdown to 32818
[21:17:27.845] [SEVERE ] updating countdown to 32705
[21:17:27.957] [SEVERE ] updating countdown to 32593
[21:17:28.067] [SEVERE ] updating countdown to 32483
[21:17:28.178] [SEVERE ] updating countdown to 32372
[21:17:28.293] [SEVERE ] updating countdown to 32257
[21:17:28.403] [SEVERE ] updating countdown to 32147
[21:17:28.517] [SEVERE ] updating countdown to 32033
[21:17:28.628] [SEVERE ] updating countdown to 31922
[21:17:28.732] [SEVERE ] updating countdown to 31818
[21:17:28.837] [SEVERE ] updating countdown to 31713
[21:17:28.950] [SEVERE ] updating countdown to 31600
[21:17:29.060] [SEVERE ] updating countdown to 31490
[21:17:29.173] [SEVERE ] updating countdown to 31377
[21:17:29.283] [SEVERE ] updating countdown to 31267
[21:17:29.397] [SEVERE ] updating countdown to 31153
[21:17:29.509] [SEVERE ] updating countdown to 31041
[21:17:29.622] [SEVERE ] updating countdown to 30928
[21:17:29.735] [SEVERE ] updating countdown to 30815
[21:17:29.846] [SEVERE ] updating countdown to 30704
[21:17:29.946] [SEVERE ] updating countdown to 30604
[21:17:30.053] [SEVERE ] updating countdown to 30497
[21:17:30.166] [SEVERE ] updating countdown to 30384
[21:17:30.276] [SEVERE ] updating countdown to 30274
[21:17:30.389] [SEVERE ] updating countdown to 30161
[21:17:30.501] [SEVERE ] updating countdown to 30049
[21:17:30.614] [SEVERE ] updating countdown to 29936
[21:17:30.726] [SEVERE ] updating countdown to 29824
[21:17:30.838] [SEVERE ] updating countdown to 29712
[21:17:30.952] [SEVERE ] updating countdown to 29598
[21:17:31.065] [SEVERE ] updating countdown to 29485
[21:17:31.172] [SEVERE ] updating countdown to 29378
[21:17:31.286] [SEVERE ] updating countdown to 29264
[21:17:31.398] [SEVERE ] updating countdown to 29152
[21:17:31.510] [SEVERE ] updating countdown to 29040
[21:17:31.621] [SEVERE ] updating countdown to 28929
[21:17:31.734] [SEVERE ] updating countdown to 28816
[21:17:31.846] [SEVERE ] updating countdown to 28704
[21:17:31.959] [SEVERE ] updating countdown to 28591
[21:17:32.070] [SEVERE ] updating countdown to 28480
[21:17:32.182] [SEVERE ] updating countdown to 28368
[21:17:32.293] [SEVERE ] updating countdown to 28257
[21:17:32.406] [SEVERE ] updating countdown to 28144
[21:17:32.518] [SEVERE ] updating countdown to 28032
[21:17:32.629] [SEVERE ] updating countdown to 27921
[21:17:32.730] [SEVERE ] updating countdown to 27820
[21:17:32.837] [SEVERE ] updating countdown to 27713
[21:17:32.949] [SEVERE ] updating countdown to 27601
[21:17:33.061] [SEVERE ] updating countdown to 27489
[21:17:33.174] [SEVERE ] updating countdown to 27376
[21:17:33.285] [SEVERE ] updating countdown to 27265
[21:17:33.398] [SEVERE ] updating countdown to 27152
[21:17:33.511] [SEVERE ] updating countdown to 27039
[21:17:33.621] [SEVERE ] updating countdown to 26929
[21:17:33.732] [SEVERE ] updating countdown to 26818
[21:17:33.845] [SEVERE ] updating countdown to 26705
[21:17:33.962] [SEVERE ] updating countdown to 26588
[21:17:34.069] [SEVERE ] updating countdown to 26481
[21:17:34.181] [SEVERE ] updating countdown to 26369
[21:17:34.293] [SEVERE ] updating countdown to 26257
[21:17:34.404] [SEVERE ] updating countdown to 26146
[21:17:34.516] [SEVERE ] updating countdown to 26034
[21:17:34.628] [SEVERE ] updating countdown to 25922
[21:17:34.741] [SEVERE ] updating countdown to 25809
[21:17:34.851] [SEVERE ] updating countdown to 25699
[21:17:34.964] [SEVERE ] updating countdown to 25586
[21:17:35.077] [SEVERE ] updating countdown to 25473
[21:17:35.189] [SEVERE ] updating countdown to 25361
[21:17:35.301] [SEVERE ] updating countdown to 25249
[21:17:35.413] [SEVERE ] updating countdown to 25137
[21:17:35.525] [SEVERE ] updating countdown to 25025
[21:17:35.637] [SEVERE ] updating countdown to 24913
[21:17:35.749] [SEVERE ] updating countdown to 24801
[21:17:35.862] [SEVERE ] updating countdown to 24688
[21:17:35.974] [SEVERE ] updating countdown to 24576
[21:17:36.084] [SEVERE ] updating countdown to 24466
[21:17:36.198] [SEVERE ] updating countdown to 24352
[21:17:36.309] [SEVERE ] updating countdown to 24241
[21:17:36.363] [SEVERE ] key 83 was pressed by player 1
[21:17:36.370] [SEVERE ] player 1 placing token on slot 5
[21:17:36.421] [SEVERE ] updating countdown to 24129
[21:17:36.535] [SEVERE ] updating countdown to 24015
[21:17:36.645] [SEVERE ] updating countdown to 23905
[21:17:36.746] [SEVERE ] updating countdown to 23804
[21:17:36.854] [SEVERE ] updating countdown to 23696
[21:17:36.965] [SEVERE ] updating countdown to 23585
[21:17:37.078] [SEVERE ] updating countdown to 23472
[21:17:37.189] [SEVERE ] updating countdown to 23361
[21:17:37.301] [SEVERE ] updating countdown to 23249
[21:17:37.413] [SEVERE ] updating countdown to 23137
[21:17:37.526] [SEVERE ] updating countdown to 23024
[21:17:37.637] [SEVERE ] updating countdown to 22913
[21:17:37.750] [SEVERE ] updating countdown to 22800
[21:17:37.861] [SEVERE ] updating countdown to 22689
[21:17:37.974] [SEVERE ] updating countdown to 22576
[21:17:38.085] [SEVERE ] updating countdown to 22465
[21:17:38.197] [SEVERE ] updating countdown to 22353
[21:17:38.309] [SEVERE ] updating countdown to 22241
[21:17:38.422] [SEVERE ] updating countdown to 22128
[21:17:38.532] [SEVERE ] updating countdown to 22018
[21:17:38.645] [SEVERE ] updating countdown to 21905
[21:17:38.758] [SEVERE ] updating countdown to 21792
[21:17:38.870] [SEVERE ] updating countdown to 21680
[21:17:38.980] [SEVERE ] updating countdown to 21570
[21:17:39.092] [SEVERE ] updating countdown to 21458
[21:17:39.203] [SEVERE ] updating countdown to 21347
[21:17:39.322] [SEVERE ] updating countdown to 21228
[21:17:39.430] [SEVERE ] updating countdown to 21120
[21:17:39.541] [SEVERE ] updating countdown to 21009
[21:17:39.653] [SEVERE ] updating countdown to 20897
[21:17:39.763] [SEVERE ] updating countdown to 20787
[21:17:39.877] [SEVERE ] updating countdown to 20673
[21:17:39.988] [SEVERE ] updating countdown to 20562
[21:17:40.101] [SEVERE ] updating countdown to 20449
[21:17:40.213] [SEVERE ] updating countdown to 20337
[21:17:40.325] [SEVERE ] updating countdown to 20225
[21:17:40.437] [SEVERE ] updating countdown to 20113
[21:17:40.549] [SEVERE ] updating countdown to 20001
[21:17:40.660] [SEVERE ] updating countdown to 19890
[21:17:40.772] [SEVERE ] updating countdown to 19778
[21:17:40.882] [SEVERE ] updating countdown to 19668
[21:17:40.997] [SEVERE ] updating countdown to 19553
[21:17:41.112] [SEVERE ] updating countdown to 19438
[21:17:41.222] [SEVERE ] updating countdown to 19328
[21:17:41.331] [SEVERE ] updating countdown to 19219
[21:17:41.446] [SEVERE ] updating countdown to 19104
[21:17:41.558] [SEVERE ] updating countdown to 18992
[21:17:41.669] [SEVERE ] updating countdown to 18881
[21:17:41.781] [SEVERE ] updating countdown to 18769
[21:17:41.892] [SEVERE ] updating countdown to 18658
[21:17:42.005] [SEVERE ] updating countdown to 18545
[21:17:42.116] [SEVERE ] updating countdown to 18434
[21:17:42.229] [SEVERE ] updating countdown to 18321
[21:17:42.332] [SEVERE ] updating countdown to 18218
[21:17:42.436] [SEVERE ] updating countdown to 18114
[21:17:42.548] [SEVERE ] updating countdown to 18002
[21:17:42.661] [SEVERE ] updating countdown to 17889
[21:17:42.774] [SEVERE ] updating countdown to 17776
[21:17:42.885] [SEVERE ] updating countdown to 17665
[21:17:42.997] [SEVERE ] updating countdown to 17553
[21:17:43.109] [SEVERE ] updating countdown to 17441
[21:17:43.221] [SEVERE ] updating countdown to 17329
[21:17:43.332] [SEVERE ] updating countdown to 17218
